;1s1/2;2s1/2;2p1/2;2p3/2;3s1/2;3p1/2;3p3/2;3d3/2;3d5/2;4s1/2;4p1/2;4p3/2;4d3/2;4d5/2;4f5/2;4f7/2;5s1/2;5p1/2;5p3/2;5d3/2;5d5/2;6s1/2;6p1/2;6p3/2
4p1/2;0.9886;0.9068;0.8899;0.8899;0.6760;0.6770;0.6770;0.6543;0.6543;0.2988;0.3348;0.3348;0.2663;0.2663;0.2574;0.2574;0.0620;0.0433;0.0433;0.0620;0.0620;0.0000;0.0000;0.0000
4p3/2;0.9886;0.9068;0.8899;0.8899;0.6760;0.6770;0.6770;0.6543;0.6543;0.2988;0.3348;0.3348;0.2663;0.2663;0.2574;0.2574;0.0620;0.0433;0.0433;0.0620;0.0620;0.0000;0.0000;0.0000
4d3/2;0.9988;0.9973;0.9891;0.9891;0.9856;0.9109;0.9109;0.7160;0.7160;0.4474;0.3416;0.3416;0.3438;0.3438;0.2737;0.2737;0.1002;0.0875;0.0875;0.0533;0.0533;0.0000;0.0000;0.0000
4d5/2;0.9988;0.9973;0.9891;0.9891;0.9856;0.9109;0.9109;0.7160;0.7160;0.4474;0.3416;0.3416;0.3438;0.3438;0.2737;0.2737;0.1002;0.0875;0.0875;0.0533;0.0533;0.0000;0.0000;0.0000
4f5/2;0.9988;0.9983;0.9955;0.9955;0.9891;0.9820;0.9820;0.9768;0.9768;0.5507;0.4388;0.4388;0.4126;0.4126;0.3863;0.3863;0.0610;0.0544;0.0544;0.0796;0.0796;0.0000;0.0000;0.0000
4f7/2;0.9988;0.9983;0.9955;0.9955;0.9891;0.9820;0.9820;0.9768;0.9768;0.5507;0.4388;0.4388;0.4126;0.4126;0.3863;0.3863;0.0610;0.0544;0.0544;0.0796;0.0796;0.0000;0.0000;0.0000
5s1/2;0.9990;0.9989;0.9966;0.9966;0.9908;0.7852;0.7852;0.7829;0.7829;0.4829;0.6502;0.6502;0.5692;0.5692;0.6730;0.6730;0.2979;0.3183;0.3183;0.1706;0.1706;0.0000;0.0000;0.0000
5p1/2;0.9991;0.9990;0.9989;0.9989;0.9978;0.8853;0.8853;0.8282;0.8282;0.5122;0.6828;0.6828;0.5719;0.5719;0.6902;0.6902;0.2771;0.3341;0.3341;0.2204;0.2204;0.0000;0.0000;0.0000
5p3/2;0.9991;0.9990;0.9989;0.9989;0.9978;0.8853;0.8853;0.8282;0.8282;0.5122;0.6828;0.6828;0.5719;0.5719;0.6902;0.6902;0.2771;0.3341;0.3341;0.2204;0.2204;0.0000;0.0000;0.0000
5d3/2;0.9992;0.9991;0.9990;0.9990;0.9988;0.9983;0.9983;0.8490;0.8490;0.7665;0.7797;0.7797;0.7494;0.7494;0.6928;0.6928;0.3682;0.3247;0.3247;0.3133;0.3133;0.0038;0.0144;0.0144
5d5/2;0.9992;0.9991;0.9990;0.9990;0.9988;0.9983;0.9983;0.8490;0.8490;0.7665;0.7797;0.7797;0.7494;0.7494;0.6928;0.6928;0.3682;0.3247;0.3247;0.3133;0.3133;0.0038;0.0144;0.0144
6s1/2;0.9995;0.9994;0.9993;0.9993;0.9991;0.9990;0.9990;0.9987;0.9987;0.9931;0.9873;0.9873;0.9454;0.9454;0.9410;0.9410;0.9427;0.7263;0.7263;0.6131;0.6131;0.3078;0.2722;0.2722
6p1/2;0.9996;0.9995;0.9994;0.9994;0.9992;0.9991;0.9991;0.9989;0.9989;0.9987;0.9924;0.9924;0.9449;0.9449;0.9447;0.9447;0.9400;0.8387;0.8387;0.7241;0.7241;0.2287;0.3379;0.3379
6p3/2;0.9996;0.9995;0.9994;0.9994;0.9992;0.9991;0.9991;0.9989;0.9989;0.9987;0.9924;0.9924;0.9449;0.9449;0.9447;0.9447;0.9400;0.8387;0.8387;0.7241;0.7241;0.2287;0.3379;0.3379
