;1s1/2;2s1/2;2p1/2;2p3/2;3s1/2;3p1/2;3p3/2;3d3/2;3d5/2;4s1/2;4p1/2;4p3/2;4d3/2;4d5/2;4f5/2;4f7/2;5s1/2;5p1/2;5p3/2;5d3/2;5d5/2;6s1/2;6p1/2;6p3/2
Configuration initiale;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Configuration finale;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
